059,Arcanine,Fire,-,090,110,080,100,080,095
060,Poliwag,Water,-,040,050,040,040,040,090
061,Poliwhirl,Water,-,065,065,065,050,050,090
062,Poliwrath,Water,Fighting,090,095,095,070,090,070
063,Abra,Psychic,-,025,020,015,105,055,090
064,Kadabra,Psychic,-,040,035,030,120,070,105
065,Alakazam,Psychic,-,055,050,045,135,095,120
066,Machop,Fighting,-,070,080,050,035,035,035
067,Machoke,Fighting,-,080,100,070,050,060,045
068,Machamp,Fighting,-,090,130,080,065,085,055
069,Bellsprout,Grass,Poison,050,075,035,070,030,040
070,Weepinbell,Grass,Poison,065,090,050,085,045,055
071,Victreebel,Grass,Poison,080,105,065,100,070,070
072,Tentacool,Water,Poison,040,040,035,050,100,070
073,Tentacruel,Water,Poison,080,070,065,080,120,100
074,Geodude,Rock,Ground,040,080,100,030,030,020
075,Graveler,Rock,Ground,055,095,115,045,045,035
076,Golem,Rock,Ground,080,120,130,055,065,045
077,Ponyta,Fire,-,050,085,055,065,065,090
078,Rapidash,Fire,-,065,100,070,080,080,105
079,Slowpoke,Water,Psychic,090,065,065,040,040,015
080,Slowbro,Water,Psychic,095,075,110,100,080,030
081,Magnemite,Electric,Steel,025,035,070,095,055,045
082,Magneton,Electric,Steel,050,060,095,120,070,070
083,Farfetch'd,Normal,Flying,052,090,055,058,062,060
084,Doduo,Normal,Flying,035,085,045,035,035,075
085,Dodrio,Normal,Flying,060,110,070,060,060,110
086,Seel,Water,-,065,045,055,045,070,045
087,Dewgong,Water,Ice,090,070,080,070,095,070
088,Grimer,Poison,-,080,080,050,040,050,025
089,Muk,Poison,-,105,105,075,065,100,050
090,Shellder,Water,-,030,065,100,045,025,040
091,Cloyster,Water,Ice,050,095,180,085,045,070
092,Gastly,Ghost,Poison,030,035,030,100,035,080
093,Haunter,Ghost,Poison,045,050,045,115,055,095
094,Gengar,Ghost,Poison,060,065,060,130,075,110
095,Onix,Rock,Ground,035,045,160,030,045,070
096,Drowzee,Psychic,-,060,048,045,043,090,042
097,Hypno,Psychic,-,085,073,070,073,115,067
098,Krabby,Water,-,030,105,090,025,025,050
099,Kingler,Water,-,055,130,115,050,050,075
100,Voltorb,Electric,-,040,030,050,055,055,100
101,Electrode,Electric,-,060,050,070,080,080,150
102,Exeggcute,Grass,Psychic,060,040,080,060,045,040
103,Exeggutor,Grass,Psychic,095,095,085,125,075,055
104,Cubone,Ground,-,050,050,095,040,050,035
105,Marowak,Ground,-,060,080,110,050,080,045
106,Hitmonlee,Fighting,-,050,120,053,035,110,087
107,Hitmonchan,Fighting,-,050,105,079,035,110,076
108,Lickitung,Normal,-,090,055,075,060,075,030
109,Koffing,Poison,-,040,065,095,060,045,035
110,Weezing,Poison,-,065,090,120,085,070,060
111,Rhyhorn,Ground,Rock,080,085,095,030,030,025
112,Rhydon,Ground,Rock,105,130,120,045,045,040
113,Chansey,Normal,-,250,005,005,035,105,050
114,Tangela,Grass,-,065,055,115,100,040,060
115,Kangaskhan,Normal,-,105,095,080,040,080,090
116,Horsea,Water,-,030,040,070,070,025,060
117,Seadra,Water,-,055,065,095,095,045,085
118,Goldeen,Water,-,045,067,060,035,050,063
119,Seaking,Water,-,080,092,065,065,080,068
120,Staryu,Water,-,030,045,055,070,055,085
121,Starmie,Water,Psychic,060,075,085,100,085,115
122,Mr. Mime,Psychic,Fairy,040,045,065,100,120,090
123,Scyther,Bug,Flying,070,110,080,055,080,105
124,Jynx,Ice,Psychic,065,050,035,115,095,095
125,Electabuzz,Electric,-,065,083,057,095,085,105
126,Magmar,Fire,-,065,095,057,100,085,093
127,Pinsir,Bug,-,065,125,100,055,070,085
128,Tauros,Normal,-,075,100,095,040,070,110
129,Magikarp,Water,-,020,010,055,015,020,080
130,Gyarados,Water,Flying,095,125,079,060,100,081
131,Lapras,Water,Ice,130,085,080,085,095,060
132,Ditto,Normal,-,048,048,048,048,048,048
133,Eevee,Normal,-,055,055,050,045,065,055
134,Vaporeon,Water,-,130,065,060,110,095,065
135,Jolteon,Electric,-,065,065,060,110,095,130
136,Flareon,Fire,-,065,130,060,095,110,065
137,Porygon,Normal,-,065,060,070,085,075,040
138,Omanyte,Rock,Water,035,040,100,090,055,035
139,Omastar,Rock,Water,070,060,125,115,070,055
140,Kabuto,Rock,Water,030,080,090,055,045,055
141,Kabutops,Rock,Water,060,115,105,065,070,080
142,Aerodactyl,Rock,Flying,080,105,065,060,075,130
143,Snorlax,Normal,-,160,110,065,065,110,030
144,Articuno,Ice,Flying,090,085,100,095,125,085
145,Zapdos,Electric,Flying,090,090,085,125,090,100
146,Moltres,Fire,Flying,090,100,090,125,085,090
147,Dratini,Dragon,-,041,064,045,050,050,050
148,Dragonair,Dragon,-,061,084,065,070,070,070
149,Dragonite,Dragon,Flying,091,134,095,100,100,080
150,Mewtwo,Psychic,-,106,110,090,154,090,130
151,Mew,Psychic,-,100,100,100,100,100,100
